Round,College,Branch,Category,Cutoff_rank,Exam,Year,Tuition_Fee,Hostel_Fee,Misc_Fee,OneTime_Fee,Total_First_Year,Total_Annual,Scholarship_Eligible,Avg_Package_LPA,Max_Package_LPA,NIRF_Rank,Top_Companies
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,GM,3371,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,OBC,5554,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,SC,11715,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,ST,13304,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,1G,5843,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,2A,5880,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,2B,5390,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,3A,3995,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,3B,5514,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,EWS,3805,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,COMPUTER SCIENCE AND ENGINEERING,GMK,5093,KCET,2024,64102.0,82414.0,17493.0,19072.0,183081.0,164009.0,No,5.5,34.1,92.0,"Microsoft, Flipkart, TCS"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,GM,4554,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,OBC,8040,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,SC,12388,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,ST,15629,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,1G,7252,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,2A,6924,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,2B,8141,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,3A,6651,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,3B,7564,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,EWS,5492,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,INFORMATION SCIENCE AND ENGINEERING,GMK,7198,KCET,2024,78944.0,71637.0,15301.0,12697.0,178579.0,165882.0,No,9.4,30.8,218.0,"Bosch, Microsoft, L&T"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,GM,7826,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,OBC,8538,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,14354,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,16150,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,1G,10336,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,2A,9044,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,2B,9326,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,3A,7563,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,3B,8107,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,EWS,7537,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRONICS AND COMMUNICATION ENGINEERING,GMK,8615,KCET,2024,79777.0,64180.0,8625.0,18484.0,171066.0,152582.0,Yes,3.4,28.6,158.0,"ABB, Siemens, HAL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,GM,10376,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,OBC,12270,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,17030,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,19845,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,1G,13372,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,2A,11431,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,2B,11947,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,3A,10575,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,3B,11223,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,EWS,11333,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,ELECTRICAL AND ELECTRONICS ENGINEERING,GMK,12242,KCET,2024,65792.0,76090.0,11647.0,17011.0,170540.0,153529.0,Yes,7.5,19.3,132.0,"HAL, Tata Motors, BEL"
Mock,RVCE,MECHANICAL ENGINEERING,GM,15172,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,OBC,16909,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,SC,22817,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,ST,25286,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,1G,19049,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,2A,17360,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,2B,18227,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,3A,17548,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,3B,17972,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,EWS,16362,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,MECHANICAL ENGINEERING,GMK,17260,KCET,2024,67838.0,67016.0,11890.0,13967.0,160711.0,146744.0,Yes,9.1,40.6,132.0,"BEL, Bosch, Tata Motors"
Mock,RVCE,CIVIL ENGINEERING,GM,19159,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,OBC,21372,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,SC,25636,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,ST,28767,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,1G,22146,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,2A,20799,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,2B,20345,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,3A,20521,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,3B,19376,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,EWS,20249,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,CIVIL ENGINEERING,GMK,19168,KCET,2024,58961.0,90682.0,17157.0,24600.0,191400.0,166800.0,Yes,7.8,33.1,210.0,"Siemens, Bosch, L&T"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GM,8309,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
