Code,Name,City
RVCE,R V College of Engineering,Bangalore
BMSCE,B M S College of Engineering,Bangalore
MSRIT,M S Ramaiah Institute of Technology,Bangalore
DSCE,Dayananda Sagar College of Engineering,Bangalore
PESU,PES University,Bangalore
UVCE,University Visvesvaraya College of Engineering,Bangalore
BIT,Bangalore Institute of Technology,Bangalore
KLEIT,K L E Institute of Technology,Hubli
MVJCE,M V J College of Engineering,Bangalore
SIT,Siddaganga Institute of Technology,Tumkur
JSSSTU,JSS Science & Technology University,Mysore
NIE,National Institute of Engineering,Mysore
NHCE,New Horizon College of Engineering,Bangalore
NMIT,Nitte Meenakshi Institute of Technology,Bangalore
BNMIT,B N M Institute of Technology,Bangalore
BMSIT,B M S Institute of Technology & Management,Bangalore
REVA,REVA University,Bangalore
MSRUAS,MS Ramaiah University of Applied Sciences,Bangalore
PESCE,P E S College of Engineering,Mandya
PRES,Presidency University,Bangalore
DSATM,Dayananda Sagar Academy of Technology & Management,Bangalore
RVUNIV,R V University,Bangalore
SDMCET,Sri Dharmasthala Manjunatheshwara College of Engineering & Technology,Dharwad
VVCE,Vidyavardhaka College of Engineering,Mysore
CMRIT,CMR Institute of Technology,Bangalore
SJBIT,S J B Institute of Technology,Bangalore
AIT,Dr Ambedkar Institute of Technology,Bangalore
GIT,Global Institute of Technology,Ramohalli
RNSIT,R V Narsimha Institute of Technology,Bangalore
AEC,Acharya Engineering College,Bangalore
NCET,Nitte Composite Engineering College,Mangalore
SJBCE,St. Joseph Engineering College,Mangalore
AECMandya,"Acharya Engineering College, Mandya",Mandya
CITGubbi,CIT Gubbi,Tumkur
GMIT,Govt. ML Khalsa Institute of Technology,Hubli
BMIT,Ballari Institute of Technology & Management,Ballari
KSIT,K S Institute of Technology,Bangalore
YKCE,Yenepoya College of Engineering,Moodbidri
RIT,Rajarajeswari Institute of Technology,Bangalore
SCEM,St Joseph’s College of Engineering,Chikmagalur
JNNCE,JNN College of Engineering,Shimoga
SITM,Sahyadri Institute of Technology & Management,Mangalore
ACU,Acharya College of Engineering,Bangalore
VVIT,Visvesvaraya Vidyalaya College of Engineering,Bangalore
BITM,Basava Institute of Technology & Management,Bagalkot
JIT,Jain Institute of Technology,Davangere
DBIT,Dudhsagar Business Institute of Technology,Bangalore
VemanaIT,Vemana Institute of Technology,Bangalore
AITM,Adichunchanagiri Institute of Technology,Mandya
VIT,Vijayanagara Institute of Technology,Mysore
HKBK,H K Bharadwaj College of Engineering,Bangalore
DrAIT,Dr Ambedkar Institute of Technology,Bangalore
RAIT,Rajarshi College of Engineering,Bangalore
EastPoint,East Point College of Engineering & Technology,Bangalore
VSM,Vidya Vikas Institute of Technology,Hubli
SDMIT,SDM Institute of Technology,Dharmasthala
KLSGIT,KLS Gogte Institute of Technology,Belgaum
