Year,Round,College,Branch,Category,Cutoff_Rank
2022,Mock,RVCE,Computer Science and Engineering,GM,3442
2022,Round 1,RVCE,Computer Science and Engineering,GM,4182
2022,Round 2,RVCE,Computer Science and Engineering,GM,3961
2022,Extended,RVCE,Computer Science and Engineering,GM,2510
2022,Mock,RVCE,Computer Science and Engineering,HKR,4832
2022,Round 1,RVCE,Computer Science and Engineering,HKR,4078
2022,Round 2,RVCE,Computer Science and Engineering,HKR,5035
2022,Extended,RVCE,Computer Science and Engineering,HKR,4805
2022,Mock,RVCE,Computer Science and Engineering,Tulu,4914
2022,Round 1,RVCE,Computer Science and Engineering,Tulu,6162
2022,Round 2,RVCE,Computer Science and Engineering,Tulu,5000
2022,Extended,RVCE,Computer Science and Engineering,Tulu,6221
2022,Mock,RVCE,Computer Science and Engineering,Christian,5150
2022,Round 1,RVCE,Computer Science and Engineering,Christian,5927
2022,Round 2,RVCE,Computer Science and Engineering,Christian,5164
2022,Extended,RVCE,Computer Science and Engineering,Christian,5541
2022,Mock,RVCE,Computer Science and Engineering,Muslim,6527
2022,Round 1,RVCE,Computer Science and Engineering,Muslim,6095
2022,Round 2,RVCE,Computer Science and Engineering,Muslim,6818
2022,Extended,RVCE,Computer Science and Engineering,Muslim,6463
2022,Mock,RVCE,Computer Science and Engineering,Others,5863
2022,Round 1,RVCE,Computer Science and Engineering,Others,6460
2022,Round 2,RVCE,Computer Science and Engineering,Others,7077
2022,Extended,RVCE,Computer Science and Engineering,Others,7060
2022,Mock,RVCE,Information Science and Engineering,GM,4557
2022,Round 1,RVCE,Information Science and Engineering,GM,6262
2022,Round 2,RVCE,Information Science and Engineering,GM,5078
2022,Extended,RVCE,Information Science and Engineering,GM,5197
2022,Mock,RVCE,Information Science and Engineering,HKR,6231
2022,Round 1,RVCE,Information Science and Engineering,HKR,7127
2022,Round 2,RVCE,Information Science and Engineering,HKR,7057
2022,Extended,RVCE,Information Science and Engineering,HKR,7141
2022,Mock,RVCE,Information Science and Engineering,Tulu,6551
2022,Round 1,RVCE,Information Science and Engineering,Tulu,8173
2022,Round 2,RVCE,Information Science and Engineering,Tulu,6801
2022,Extended,RVCE,Information Science and Engineering,Tulu,7201
2022,Mock,RVCE,Information Science and Engineering,Christian,7057
2022,Round 1,RVCE,Information Science and Engineering,Christian,7113
2022,Round 2,RVCE,Information Science and Engineering,Christian,7474
2022,Extended,RVCE,Information Science and Engineering,Christian,7427
2022,Mock,RVCE,Information Science and Engineering,Muslim,8105
2022,Round 1,RVCE,Information Science and Engineering,Muslim,7224
2022,Round 2,RVCE,Information Science and Engineering,Muslim,8999
2022,Extended,RVCE,Information Science and Engineering,Muslim,7234
2022,Mock,RVCE,Information Science and Engineering,Others,8536
2022,Round 1,RVCE,Information Science and Engineering,Others,8504
2022,Round 2,RVCE,Information Science and Engineering,Others,8126
2022,Extended,RVCE,Information Science and Engineering,Others,8150
2022,Mock,RVCE,Electronics and Communication Engineering,GM,6094
2022,Round 1,RVCE,Electronics and Communication Engineering,GM,6109
2022,Round 2,RVCE,Electronics and Communication Engineering,GM,7412
2022,Extended,RVCE,Electronics and Communication Engineering,GM,6586
2022,Mock,RVCE,Electronics and Communication Engineering,HKR,8436
2022,Round 1,RVCE,Electronics and Communication Engineering,HKR,8961
2022,Round 2,RVCE,Electronics and Communication Engineering,HKR,8300
2022,Extended,RVCE,Electronics and Communication Engineering,HKR,8343
2022,Mock,RVCE,Electronics and Communication Engineering,Tulu,8535
2022,Round 1,RVCE,Electronics and Communication Engineering,Tulu,8370
2022,Round 2,RVCE,Electronics and Communication Engineering,Tulu,9587
2022,Extended,RVCE,Electronics and Communication Engineering,Tulu,8997
2022,Mock,RVCE,Electronics and Communication Engineering,Christian,10266
2022,Round 1,RVCE,Electronics and Communication Engineering,Christian,9953
