Year,Round,College,Branch,Category,Cutoff_Rank
2021,Mock,RVCE,Computer Science and Engineering,GM,2973
2021,Round 1,RVCE,Computer Science and Engineering,GM,2765
2021,Round 2,RVCE,Computer Science and Engineering,GM,3475
2021,Extended,RVCE,Computer Science and Engineering,GM,3904
2021,Mock,RVCE,Computer Science and Engineering,OBC,5848
2021,Round 1,RVCE,Computer Science and Engineering,OBC,6118
2021,Round 2,RVCE,Computer Science and Engineering,OBC,6009
2021,Extended,RVCE,Computer Science and Engineering,OBC,6115
2021,Mock,RVCE,Computer Science and Engineering,SC,10991
2021,Round 1,RVCE,Computer Science and Engineering,SC,11603
2021,Round 2,RVCE,Computer Science and Engineering,SC,10799
2021,Extended,RVCE,Computer Science and Engineering,SC,11216
2021,Mock,RVCE,Computer Science and Engineering,ST,13709
2021,Round 1,RVCE,Computer Science and Engineering,ST,14183
2021,Round 2,RVCE,Computer Science and Engineering,ST,13780
2021,Extended,RVCE,Computer Science and Engineering,ST,14271
2021,Mock,RVCE,Computer Science and Engineering,1G,6245
2021,Round 1,RVCE,Computer Science and Engineering,1G,6732
2021,Round 2,RVCE,Computer Science and Engineering,1G,6592
2021,Extended,RVCE,Computer Science and Engineering,1G,6556
2021,Mock,RVCE,Computer Science and Engineering,2A,6395
2021,Round 1,RVCE,Computer Science and Engineering,2A,4931
2021,Round 2,RVCE,Computer Science and Engineering,2A,5859
2021,Extended,RVCE,Computer Science and Engineering,2A,5749
2021,Mock,RVCE,Computer Science and Engineering,2B,6176
2021,Round 1,RVCE,Computer Science and Engineering,2B,5724
2021,Round 2,RVCE,Computer Science and Engineering,2B,5591
2021,Extended,RVCE,Computer Science and Engineering,2B,5790
2021,Mock,RVCE,Computer Science and Engineering,3A,4091
2021,Round 1,RVCE,Computer Science and Engineering,3A,4905
2021,Round 2,RVCE,Computer Science and Engineering,3A,4430
2021,Extended,RVCE,Computer Science and Engineering,3A,4812
2021,Mock,RVCE,Computer Science and Engineering,3B,5823
2021,Round 1,RVCE,Computer Science and Engineering,3B,6167
2021,Round 2,RVCE,Computer Science and Engineering,3B,4973
2021,Extended,RVCE,Computer Science and Engineering,3B,6129
2021,Mock,RVCE,Computer Science and Engineering,EWS,5741
2021,Round 1,RVCE,Computer Science and Engineering,EWS,4625
2021,Round 2,RVCE,Computer Science and Engineering,EWS,5101
2021,Extended,RVCE,Computer Science and Engineering,EWS,5999
2021,Mock,RVCE,Computer Science and Engineering,GMK,4749
2021,Round 1,RVCE,Computer Science and Engineering,GMK,4214
2021,Round 2,RVCE,Computer Science and Engineering,GMK,5305
2021,Extended,RVCE,Computer Science and Engineering,GMK,5583
2021,Mock,RVCE,Information Science and Engineering,GM,5832
2021,Round 1,RVCE,Information Science and Engineering,GM,5748
2021,Round 2,RVCE,Information Science and Engineering,GM,4767
2021,Extended,RVCE,Information Science and Engineering,GM,5861
2021,Mock,RVCE,Information Science and Engineering,OBC,8220
2021,Round 1,RVCE,Information Science and Engineering,OBC,7983
2021,Round 2,RVCE,Information Science and Engineering,OBC,7559
2021,Extended,RVCE,Information Science and Engineering,OBC,7071
2021,Mock,RVCE,Information Science and Engineering,SC,14143
2021,Round 1,RVCE,Information Science and Engineering,SC,13354
2021,Round 2,RVCE,Information Science and Engineering,SC,13578
2021,Extended,RVCE,Information Science and Engineering,SC,14496
2021,Mock,RVCE,Information Science and Engineering,ST,15557
2021,Round 1,RVCE,Information Science and Engineering,ST,15340
2021,Round 2,RVCE,Information Science and Engineering,ST,15263
2021,Extended,RVCE,Information Science and Engineering,ST,15622
2021,Mock,RVCE,Information Science and Engineering,1G,9320
2021,Round 1,RVCE,Information Science and Engineering,1G,8681
2021,Round 2,RVCE,Information Science and Engineering,1G,9425
2021,Extended,RVCE,Information Science and Engineering,1G,8669
2021,Mock,RVCE,Information Science and Engineering,2A,7186
2021,Round 1,RVCE,Information Science and Engineering,2A,6638
2021,Round 2,RVCE,Information Science and Engineering,2A,8440
2021,Extended,RVCE,Information Science and Engineering,2A,8143
2021,Mock,RVCE,Information Science and Engineering,2B,8335
2021,Round 1,RVCE,Information Science and Engineering,2B,7147
2021,Round 2,RVCE,Information Science and Engineering,2B,8381
2021,Extended,RVCE,Information Science and Engineering,2B,8598
2021,Mock,RVCE,Information Science and Engineering,3A,6461
2021,Round 1,RVCE,Information Science and Engineering,3A,6088
2021,Round 2,RVCE,Information Science and Engineering,3A,6036
2021,Extended,RVCE,Information Science and Engineering,3A,7208
2021,Mock,RVCE,Information Science and Engineering,3B,6938
2021,Round 1,RVCE,Information Science and Engineering,3B,8059
2021,Round 2,RVCE,Information Science and Engineering,3B,7101
2021,Extended,RVCE,Information Science and Engineering,3B,6619
2021,Mock,RVCE,Information Science and Engineering,EWS,6882
2021,Round 1,RVCE,Information Science and Engineering,EWS,7769
2021,Round 2,RVCE,Information Science and Engineering,EWS,6330
2021,Extended,RVCE,Information Science and Engineering,EWS,7552
2021,Mock,RVCE,Information Science and Engineering,GMK,7755
2021,Round 1,RVCE,Information Science and Engineering,GMK,6512
2021,Round 2,RVCE,Information Science and Engineering,GMK,7301
2021,Extended,RVCE,Information Science and Engineering,GMK,6890
2021,Mock,RVCE,Electronics and Communication Engineering,GM,7906
2021,Round 1,RVCE,Electronics and Communication Engineering,GM,8039
2021,Round 2,RVCE,Electronics and Communication Engineering,GM,7933
2021,Extended,RVCE,Electronics and Communication Engineering,GM,7995
2021,Mock,RVCE,Electronics and Communication Engineering,OBC,9146
2021,Round 1,RVCE,Electronics and Communication Engineering,OBC,9429
2021,Round 2,RVCE,Electronics and Communication Engineering,OBC,9775
2021,Extended,RVCE,Electronics and Communication Engineering,OBC,9597
2021,Mock,RVCE,Electronics and Communication Engineering,SC,16477
2021,Round 1,RVCE,Electronics and Communication Engineering,SC,16002
2021,Round 2,RVCE,Electronics and Communication Engineering,SC,15882
2021,Extended,RVCE,Electronics and Communication Engineering,SC,15737
2021,Mock,RVCE,Electronics and Communication Engineering,ST,17448
2021,Round 1,RVCE,Electronics and Communication Engineering,ST,18340
2021,Round 2,RVCE,Electronics and Communication Engineering,ST,17089
2021,Extended,RVCE,Electronics and Communication Engineering,ST,16502
2021,Mock,RVCE,Electronics and Communication Engineering,1G,11138
2021,Round 1,RVCE,Electronics and Communication Engineering,1G,10777
2021,Round 2,RVCE,Electronics and Communication Engineering,1G,10201
2021,Extended,RVCE,Electronics and Communication Engineering,1G,11220
2021,Mock,RVCE,Electronics and Communication Engineering,2A,9218
2021,Round 1,RVCE,Electronics and Communication Engineering,2A,9445
2021,Round 2,RVCE,Electronics and Communication Engineering,2A,9199
2021,Extended,RVCE,Electronics and Communication Engineering,2A,9938
2021,Mock,RVCE,Electronics and Communication Engineering,2B,10717
2021,Round 1,RVCE,Electronics and Communication Engineering,2B,9274
2021,Round 2,RVCE,Electronics and Communication Engineering,2B,10234
2021,Extended,RVCE,Electronics and Communication Engineering,2B,10604
2021,Mock,RVCE,Electronics and Communication Engineering,3A,8581
2021,Round 1,RVCE,Electronics and Communication Engineering,3A,9270
2021,Round 2,RVCE,Electronics and Communication Engineering,3A,8791
2021,Extended,RVCE,Electronics and Communication Engineering,3A,9808
2021,Mock,RVCE,Electronics and Communication Engineering,3B,10109
2021,Round 1,RVCE,Electronics and Communication Engineering,3B,9046
2021,Round 2,RVCE,Electronics and Communication Engineering,3B,8403
2021,Extended,RVCE,Electronics and Communication Engineering,3B,9370
2021,Mock,RVCE,Electronics and Communication Engineering,EWS,8835
2021,Round 1,RVCE,Electronics and Communication Engineering,EWS,8225
2021,Round 2,RVCE,Electronics and Communication Engineering,EWS,8088
2021,Extended,RVCE,Electronics and Communication Engineering,EWS,9696
2021,Mock,RVCE,Electronics and Communication Engineering,GMK,10085
2021,Round 1,RVCE,Electronics and Communication Engineering,GMK,8526
2021,Round 2,RVCE,Electronics and Communication Engineering,GMK,9788
2021,Extended,RVCE,Electronics and Communication Engineering,GMK,8907
2021,Mock,RVCE,Electrical and Electronics Engineering,GM,10459
2021,Round 1,RVCE,Electrical and Electronics Engineering,GM,11031
2021,Round 2,RVCE,Electrical and Electronics Engineering,GM,11045
2021,Extended,RVCE,Electrical and Electronics Engineering,GM,10428
2021,Mock,RVCE,Electrical and Electronics Engineering,OBC,12167
2021,Round 1,RVCE,Electrical and Electronics Engineering,OBC,12184
2021,Round 2,RVCE,Electrical and Electronics Engineering,OBC,13623
2021,Extended,RVCE,Electrical and Electronics Engineering,OBC,13574
2021,Mock,RVCE,Electrical and Electronics Engineering,SC,19306
2021,Round 1,RVCE,Electrical and Electronics Engineering,SC,19302
2021,Round 2,RVCE,Electrical and Electronics Engineering,SC,19376
2021,Extended,RVCE,Electrical and Electronics Engineering,SC,19367
2021,Mock,RVCE,Electrical and Electronics Engineering,ST,19955
2021,Round 1,RVCE,Electrical and Electronics Engineering,ST,20507
2021,Round 2,RVCE,Electrical and Electronics Engineering,ST,21360
2021,Extended,RVCE,Electrical and Electronics Engineering,ST,20498
2021,Mock,RVCE,Electrical and Electronics Engineering,1G,14182
2021,Round 1,RVCE,Electrical and Electronics Engineering,1G,13809
2021,Round 2,RVCE,Electrical and Electronics Engineering,1G,12599
2021,Extended,RVCE,Electrical and Electronics Engineering,1G,13720
2021,Mock,RVCE,Electrical and Electronics Engineering,2A,12744
2021,Round 1,RVCE,Electrical and Electronics Engineering,2A,12146
2021,Round 2,RVCE,Electrical and Electronics Engineering,2A,11563
2021,Extended,RVCE,Electrical and Electronics Engineering,2A,12901
2021,Mock,RVCE,Electrical and Electronics Engineering,2B,12449
2021,Round 1,RVCE,Electrical and Electronics Engineering,2B,13925
2021,Round 2,RVCE,Electrical and Electronics Engineering,2B,13935
2021,Extended,RVCE,Electrical and Electronics Engineering,2B,13799
2021,Mock,RVCE,Electrical and Electronics Engineering,3A,11216
2021,Round 1,RVCE,Electrical and Electronics Engineering,3A,12377
2021,Round 2,RVCE,Electrical and Electronics Engineering,3A,11269
2021,Extended,RVCE,Electrical and Electronics Engineering,3A,12076
2021,Mock,RVCE,Electrical and Electronics Engineering,3B,11663
2021,Round 1,RVCE,Electrical and Electronics Engineering,3B,12489
2021,Round 2,RVCE,Electrical and Electronics Engineering,3B,11498
2021,Extended,RVCE,Electrical and Electronics Engineering,3B,13053
2021,Mock,RVCE,Electrical and Electronics Engineering,EWS,11952
2021,Round 1,RVCE,Electrical and Electronics Engineering,EWS,11617
2021,Round 2,RVCE,Electrical and Electronics Engineering,EWS,11984
2021,Extended,RVCE,Electrical and Electronics Engineering,EWS,12834
2021,Mock,RVCE,Electrical and Electronics Engineering,GMK,12179
2021,Round 1,RVCE,Electrical and Electronics Engineering,GMK,11510
2021,Round 2,RVCE,Electrical and Electronics Engineering,GMK,12941
2021,Extended,RVCE,Electrical and Electronics Engineering,GMK,12277
2021,Mock,RVCE,Mechanical Engineering,GM,16755
2021,Round 1,RVCE,Mechanical Engineering,GM,16510
2021,Round 2,RVCE,Mechanical Engineering,GM,16567
2021,Extended,RVCE,Mechanical Engineering,GM,15197
2021,Mock,RVCE,Mechanical Engineering,OBC,17726
2021,Round 1,RVCE,Mechanical Engineering,OBC,18854
2021,Round 2,RVCE,Mechanical Engineering,OBC,17503
