College,Branch,Exam,Year,Tuition_Fee,Hostel_Fee,Misc_Fee,OneTime_Fee,Total_First_Year,Total_Annual,Scholarship_Eligible
ACU,Electrical and Electronics Engineering,KCET,2024,79439,83817,10903,21558,195717,174159,Yes
MVJCE,Mechanical Engineering,KCET,2023,82321,76001,19740,20552,198614,178062,No
SDMIT,Computer Science and Engineering,COMEDK,2024,200074,93310,13272,28731,335387,306656,No
DSATM,Robotics and Automation Engineering,KCET,2023,60387,75364,9277,11199,156227,145028,Yes
MSRUAS,Data Science,COMEDK,2023,218574,90518,11512,24907,345511,320604,No
ACU,Aerospace Engineering,KCET,2023,66558,65655,18943,28667,179823,151156,Yes
RIT,Chemical Engineering,COMEDK,2023,187984,85266,18943,14627,306820,292193,No
RVCE,Artificial Intelligence and Data Science,KCET,2024,50007,83549,11391,21262,166209,144947,No
VVCE,Computer Science and Engineering,COMEDK,2023,175358,84966,9572,15736,285632,269896,Yes
JIT,Mechanical Engineering,KCET,2024,70118,86954,10438,20801,188311,167510,No
RNSIT,Chemical Engineering,COMEDK,2024,205130,91492,16287,14544,327453,312909,Yes
GMIT,Mechanical Engineering,KCET,2023,79289,63277,15199,21557,179322,157765,No
GMIT,Data Science,COMEDK,2023,184864,74408,9351,17898,286521,268623,No
RAIT,Chemical Engineering,COMEDK,2024,223111,76514,9964,11029,320618,309589,Yes
DrAIT,Electronics and Communication Engineering,COMEDK,2023,211779,86467,14577,20015,332838,312823,Yes
VVIT,Artificial Intelligence and Data Science,KCET,2023,73909,76169,16447,17660,184185,166525,Yes
SIT,Electrical and Electronics Engineering,COMEDK,2024,166353,70447,8129,15261,260190,244929,Yes
YKCE,Aerospace Engineering,COMEDK,2024,232729,78020,12753,18322,341824,323502,Yes
RIT,Mechanical Engineering,COMEDK,2024,243074,89987,11192,15685,359938,344253,Yes
RIT,Robotics and Automation Engineering,COMEDK,2024,193480,93444,14699,22085,323708,301623,Yes
CITGubbi,Artificial Intelligence and Data Science,KCET,2024,80308,90359,13845,13145,197657,184512,No
MVJCE,Electrical and Electronics Engineering,KCET,2023,51981,82879,14149,14007,163016,149009,Yes
NIE,Robotics and Automation Engineering,COMEDK,2023,226264,83549,11613,16735,338161,321426,No
GMIT,Computer Science and Engineering,COMEDK,2024,248141,77049,12607,26189,363986,337797,No
RAIT,Chemical Engineering,KCET,2023,68811,73875,13577,16232,172495,156263,Yes
UVCE,Civil Engineering,KCET,2023,73014,76767,15499,23860,189140,165280,No
MSRUAS,Electrical and Electronics Engineering,COMEDK,2023,230363,90710,10184,24814,356071,331257,No
KLSGIT,Data Science,KCET,2024,72953,64610,17683,10593,165839,155246,No
RVCE,Civil Engineering,COMEDK,2024,249601,67220,18932,15034,350787,335753,Yes
EastPoint,Electronics and Communication Engineering,COMEDK,2024,202355,88243,18664,13264,322526,309262,No
JNNCE,Civil Engineering,COMEDK,2024,172729,61840,17827,17266,269662,252396,Yes
