College,Branch,Year,Avg_Package_LPA,Max_Package_LPA,NIRF_Rank,Top_Companies
RVCE,Computer Science and Engineering,2023,4.7,20.1,221,"Microsoft, Adobe, Infosys"
RVCE,Computer Science and Engineering,2024,5.5,34.1,92,"Microsoft, Flipkart, TCS"
RVCE,Information Science and Engineering,2023,8.6,40.8,237,"Google, Infosys, BEL"
RVCE,Information Science and Engineering,2024,9.4,30.8,218,"Bosch, Microsoft, L&T"
RVCE,Electronics and Communication Engineering,2023,9.7,19.6,272,"GE, Bosch, Tata Motors"
RVCE,Electronics and Communication Engineering,2024,3.4,28.6,158,"ABB, Siemens, HAL"
RVCE,Electrical and Electronics Engineering,2023,9.2,22.8,243,"L&T, Siemens, Tata Motors"
RVCE,Electrical and Electronics Engineering,2024,7.5,19.3,132,"HAL, Tata Motors, BEL"
RVCE,Mechanical Engineering,2023,8.4,30.2,57,"Siemens, Bosch, BEL"
RVCE,Mechanical Engineering,2024,9.1,40.6,132,"BEL, Bosch, Tata Motors"
RVCE,Civil Engineering,2023,6.2,15.7,142,"ABB, Bosch, HAL"
RVCE,Civil Engineering,2024,7.8,33.1,210,"Siemens, Bosch, L&T"
RVCE,Artificial Intelligence and Data Science,2023,8.7,29.9,180,"Google, Cisco, SAP Labs"
RVCE,Artificial Intelligence and Data Science,2024,9.6,33.4,286,"Wipro, Google, SAP Labs"
RVCE,Biotechnology,2023,5.8,15.4,190,"Pfizer, Cipla, Biocon"
RVCE,Biotechnology,2024,3.4,17.6,150,"Novartis, Serum Institute, Pfizer"
RVCE,Data Science,2023,7.0,26.0,136,"Flipkart, Wipro, TCS"
RVCE,Data Science,2024,4.2,13.2,155,"Flipkart, Amazon, Google"
RVCE,Robotics and Automation Engineering,2023,9.6,24.6,127,"Boeing, DRDO, ISRO"
RVCE,Robotics and Automation Engineering,2024,7.8,36.9,126,"Airbus, DRDO, ISRO"
RVCE,Aerospace Engineering,2023,4.2,17.6,155,"Safran, ISRO, DRDO"
RVCE,Aerospace Engineering,2024,6.6,39.5,272,"ISRO, Safran, Airbus"
RVCE,Chemical Engineering,2023,6.3,19.3,98,"Serum Institute, Novartis, Pfizer"
RVCE,Chemical Engineering,2024,4.1,20.6,116,"Biocon, Serum Institute, Novartis"
BMSCE,Computer Science and Engineering,2023,8.3,15.3,141,"Adobe, Infosys, Amazon"
BMSCE,Computer Science and Engineering,2024,9.8,44.7,283,"Flipkart, SAP Labs, Cisco"
BMSCE,Information Science and Engineering,2023,5.0,13.8,148,"Cisco, Wipro, Siemens"
BMSCE,Information Science and Engineering,2024,8.8,31.8,114,"Tata Motors, Google, Adobe"
BMSCE,Electronics and Communication Engineering,2023,6.7,51.0,169,"ABB, HAL, Bosch"
BMSCE,Electronics and Communication Engineering,2024,4.9,16.2,291,"L&T, BEL, HAL"
BMSCE,Electrical and Electronics Engineering,2023,4.4,10.4,67,"Bosch, BEL, Siemens"
BMSCE,Electrical and Electronics Engineering,2024,5.1,37.5,297,"HAL, GE, Siemens"
BMSCE,Mechanical Engineering,2023,4.0,9.7,77,"Tata Motors, ABB, BEL"
BMSCE,Mechanical Engineering,2024,9.3,28.2,111,"ABB, L&T, GE"
BMSCE,Civil Engineering,2023,4.9,22.2,177,"ABB, Tata Motors, Bosch"
BMSCE,Civil Engineering,2024,7.2,39.7,116,"Siemens, HAL, BEL"
BMSCE,Artificial Intelligence and Data Science,2023,8.1,42.5,78,"Infosys, Adobe, Amazon"
BMSCE,Artificial Intelligence and Data Science,2024,6.0,43.1,249,"Flipkart, Google, TCS"
BMSCE,Biotechnology,2023,6.9,15.8,229,"Serum Institute, Pfizer, Cipla"
BMSCE,Biotechnology,2024,5.9,23.8,139,"Novartis, Pfizer, Serum Institute"
BMSCE,Data Science,2023,9.9,18.5,99,"Infosys, Wipro, Amazon"
BMSCE,Data Science,2024,9.5,54.0,229,"Microsoft, Adobe, Wipro"
BMSCE,Robotics and Automation Engineering,2023,6.4,43.6,220,"ISRO, Airbus, Boeing"
BMSCE,Robotics and Automation Engineering,2024,4.9,35.4,51,"ISRO, Airbus, Safran"
BMSCE,Aerospace Engineering,2023,6.4,36.0,61,"Boeing, Airbus, Safran"
BMSCE,Aerospace Engineering,2024,3.7,18.5,74,"ISRO, Boeing, DRDO"
BMSCE,Chemical Engineering,2023,7.9,47.5,104,"Novartis, Pfizer, Cipla"
BMSCE,Chemical Engineering,2024,6.1,30.6,218,"Biocon, Pfizer, Novartis"
MSRIT,Computer Science and Engineering,2023,6.2,17.1,90,"Microsoft, Amazon, Cisco"
MSRIT,Computer Science and Engineering,2024,3.5,41.7,53,"Infosys, SAP Labs, Microsoft"
MSRIT,Information Science and Engineering,2023,7.0,16.9,241,"SAP Labs, Amazon, Cisco"
MSRIT,Information Science and Engineering,2024,8.9,52.6,263,"HAL, Bosch, Tata Motors"
MSRIT,Electronics and Communication Engineering,2023,8.0,18.5,236,"Siemens, Tata Motors, L&T"
MSRIT,Electronics and Communication Engineering,2024,5.3,32.8,213,"Bosch, GE, L&T"
MSRIT,Electrical and Electronics Engineering,2023,3.8,38.3,254,"HAL, BEL, Bosch"
MSRIT,Electrical and Electronics Engineering,2024,5.2,32.1,84,"HAL, Tata Motors, GE"
MSRIT,Mechanical Engineering,2023,9.2,52.1,88,"Tata Motors, ABB, Siemens"
MSRIT,Mechanical Engineering,2024,7.6,39.2,149,"GE, ABB, Tata Motors"
MSRIT,Civil Engineering,2023,4.7,34.5,239,"Bosch, L&T, HAL"
MSRIT,Civil Engineering,2024,3.2,9.6,249,"BEL, Siemens, Bosch"
MSRIT,Artificial Intelligence and Data Science,2023,7.8,36.9,157,"Microsoft, Wipro, SAP Labs"
MSRIT,Artificial Intelligence and Data Science,2024,9.4,50.3,87,"Amazon, Flipkart, Adobe"
MSRIT,Biotechnology,2023,9.3,32.1,101,"Biocon, Novartis, Cipla"
MSRIT,Biotechnology,2024,6.8,31.8,81,"Pfizer, Serum Institute, Cipla"
MSRIT,Data Science,2023,6.9,42.9,127,"Wipro, SAP Labs, Adobe"
MSRIT,Data Science,2024,6.1,27.0,210,"Amazon, Cisco, Flipkart"
MSRIT,Robotics and Automation Engineering,2023,8.9,47.2,250,"ISRO, Safran, DRDO"
MSRIT,Robotics and Automation Engineering,2024,3.1,25.3,209,"Safran, Boeing, Airbus"
MSRIT,Aerospace Engineering,2023,3.3,41.7,194,"Boeing, Safran, Airbus"
MSRIT,Aerospace Engineering,2024,9.3,48.6,175,"Safran, ISRO, Boeing"
MSRIT,Chemical Engineering,2023,5.3,45.6,201,"Novartis, Serum Institute, Cipla"
MSRIT,Chemical Engineering,2024,8.0,49.0,216,"Pfizer, Cipla, Serum Institute"
DSCE,Computer Science and Engineering,2023,6.0,46.2,242,"TCS, Google, Wipro"
DSCE,Computer Science and Engineering,2024,9.5,48.3,282,"Cisco, Flipkart, Google"
DSCE,Information Science and Engineering,2023,8.7,30.7,96,"BEL, Bosch, ABB"
DSCE,Information Science and Engineering,2024,5.9,27.9,220,"L&T, Bosch, Flipkart"
DSCE,Electronics and Communication Engineering,2023,4.8,37.0,213,"ABB, GE, Tata Motors"
DSCE,Electronics and Communication Engineering,2024,5.7,28.7,76,"Bosch, ABB, L&T"
DSCE,Electrical and Electronics Engineering,2023,9.8,44.8,288,"Tata Motors, ABB, GE"
DSCE,Electrical and Electronics Engineering,2024,4.6,29.5,124,"Bosch, GE, L&T"
DSCE,Mechanical Engineering,2023,8.7,51.6,223,"ABB, Siemens, GE"
DSCE,Mechanical Engineering,2024,7.4,20.1,246,"HAL, ABB, Siemens"
DSCE,Civil Engineering,2023,7.9,23.7,109,"Bosch, L&T, GE"
DSCE,Civil Engineering,2024,8.2,23.8,137,"Siemens, ABB, Tata Motors"
DSCE,Artificial Intelligence and Data Science,2023,9.8,48.0,212,"Cisco, Microsoft, TCS"
DSCE,Artificial Intelligence and Data Science,2024,8.3,26.1,88,"SAP Labs, Adobe, Cisco"
DSCE,Biotechnology,2023,4.8,29.8,277,"Biocon, Cipla, Serum Institute"
DSCE,Biotechnology,2024,9.4,25.7,244,"Cipla, Pfizer, Novartis"
DSCE,Data Science,2023,4.1,13.4,51,"Wipro, TCS, Infosys"
DSCE,Data Science,2024,4.5,25.2,282,"TCS, SAP Labs, Amazon"
DSCE,Robotics and Automation Engineering,2023,5.6,14.3,113,"DRDO, Airbus, ISRO"
DSCE,Robotics and Automation Engineering,2024,5.8,20.2,82,"ISRO, Airbus, Safran"
DSCE,Aerospace Engineering,2023,3.9,16.9,197,"ISRO, Boeing, Safran"
DSCE,Aerospace Engineering,2024,6.3,27.4,60,"Safran, DRDO, ISRO"
DSCE,Chemical Engineering,2023,4.6,39.0,177,"Novartis, Pfizer, Serum Institute"
DSCE,Chemical Engineering,2024,6.2,38.4,192,"Novartis, Pfizer, Biocon"
PESU,Computer Science and Engineering,2023,7.1,21.3,204,"TCS, Google, Wipro"
PESU,Computer Science and Engineering,2024,8.1,30.2,115,"Amazon, Google, TCS"
PESU,Information Science and Engineering,2023,9.5,44.5,271,"BEL, Adobe, Infosys"
PESU,Information Science and Engineering,2024,7.7,18.3,295,"HAL, ABB, Amazon"
PESU,Electronics and Communication Engineering,2023,7.0,20.5,208,"Tata Motors, HAL, ABB"
PESU,Electronics and Communication Engineering,2024,7.2,36.3,171,"Tata Motors, GE, L&T"
PESU,Electrical and Electronics Engineering,2023,4.7,11.1,107,"ABB, Siemens, BEL"
PESU,Electrical and Electronics Engineering,2024,7.2,46.1,215,"Bosch, BEL, Tata Motors"
PESU,Mechanical Engineering,2023,4.0,36.3,146,"HAL, BEL, Bosch"
PESU,Mechanical Engineering,2024,9.3,26.0,264,"HAL, GE, BEL"
PESU,Civil Engineering,2023,3.7,34.8,154,"Bosch, Siemens, HAL"
PESU,Civil Engineering,2024,4.2,14.1,68,"GE, L&T, Bosch"
PESU,Artificial Intelligence and Data Science,2023,3.1,18.8,279,"Infosys, Adobe, SAP Labs"
PESU,Artificial Intelligence and Data Science,2024,8.7,40.4,230,"Wipro, Microsoft, Adobe"
PESU,Biotechnology,2023,7.7,42.4,129,"Cipla, Pfizer, Serum Institute"
PESU,Biotechnology,2024,8.0,29.3,79,"Biocon, Novartis, Serum Institute"
PESU,Data Science,2023,3.1,18.4,72,"Infosys, Flipkart, Microsoft"
PESU,Data Science,2024,7.0,37.0,52,"SAP Labs, Amazon, Infosys"
PESU,Robotics and Automation Engineering,2023,9.0,48.9,260,"DRDO, Boeing, ISRO"
PESU,Robotics and Automation Engineering,2024,7.6,35.4,230,"Safran, Boeing, Airbus"
PESU,Aerospace Engineering,2023,6.5,12.7,258,"Safran, Boeing, ISRO"
PESU,Aerospace Engineering,2024,3.1,16.2,169,"Safran, Boeing, Airbus"
PESU,Chemical Engineering,2023,6.6,39.3,152,"Novartis, Biocon, Pfizer"
PESU,Chemical Engineering,2024,7.6,27.4,55,"Novartis, Serum Institute, Pfizer"
UVCE,Computer Science and Engineering,2023,4.8,16.0,226,"Adobe, Wipro, Flipkart"
UVCE,Computer Science and Engineering,2024,4.8,12.0,180,"Infosys, Google, Adobe"
UVCE,Information Science and Engineering,2023,6.6,31.3,272,"GE, TCS, Infosys"
UVCE,Information Science and Engineering,2024,6.0,47.6,78,"Flipkart, Wipro, SAP Labs"
UVCE,Electronics and Communication Engineering,2023,6.0,39.1,180,"Bosch, HAL, Siemens"
UVCE,Electronics and Communication Engineering,2024,6.6,14.6,204,"BEL, GE, Siemens"
UVCE,Electrical and Electronics Engineering,2023,6.8,34.0,52,"Siemens, BEL, ABB"
UVCE,Electrical and Electronics Engineering,2024,7.7,38.7,168,"BEL, HAL, ABB"
UVCE,Mechanical Engineering,2023,6.2,19.6,70,"GE, Siemens, Tata Motors"
UVCE,Mechanical Engineering,2024,7.1,46.2,179,"Bosch, GE, ABB"
UVCE,Civil Engineering,2023,3.6,19.2,150,"Bosch, Siemens, HAL"
UVCE,Civil Engineering,2024,8.7,30.9,288,"ABB, Tata Motors, HAL"
UVCE,Artificial Intelligence and Data Science,2023,4.4,29.0,114,"Adobe, SAP Labs, Microsoft"
UVCE,Artificial Intelligence and Data Science,2024,4.8,29.4,240,"SAP Labs, TCS, Amazon"
UVCE,Biotechnology,2023,3.9,23.4,55,"Serum Institute, Cipla, Novartis"
UVCE,Biotechnology,2024,7.1,48.1,253,"Biocon, Novartis, Serum Institute"
UVCE,Data Science,2023,7.9,16.3,251,"Adobe, SAP Labs, Flipkart"
UVCE,Data Science,2024,9.5,20.0,57,"TCS, SAP Labs, Cisco"
UVCE,Robotics and Automation Engineering,2023,6.2,18.4,144,"Airbus, Safran, Boeing"
UVCE,Robotics and Automation Engineering,2024,8.7,29.6,187,"DRDO, Airbus, ISRO"
UVCE,Aerospace Engineering,2023,9.6,34.7,248,"Boeing, Airbus, Safran"
UVCE,Aerospace Engineering,2024,3.4,18.3,67,"Airbus, Safran, ISRO"
UVCE,Chemical Engineering,2023,3.8,10.7,208,"Biocon, Cipla, Pfizer"
UVCE,Chemical Engineering,2024,7.1,43.1,107,"Cipla, Serum Institute, Novartis"
BIT,Computer Science and Engineering,2023,9.5,25.2,160,"Google, Cisco, Microsoft"
BIT,Computer Science and Engineering,2024,6.8,28.6,231,"Flipkart, Cisco, Adobe"
BIT,Information Science and Engineering,2023,5.6,42.8,201,"HAL, Amazon, GE"
BIT,Information Science and Engineering,2024,3.0,43.7,285,"HAL, Microsoft, Siemens"
BIT,Electronics and Communication Engineering,2023,7.8,27.7,60,"Bosch, Siemens, HAL"
BIT,Electronics and Communication Engineering,2024,9.5,31.4,229,"GE, BEL, Siemens"
BIT,Electrical and Electronics Engineering,2023,8.1,39.9,222,"Bosch, L&T, Siemens"
BIT,Electrical and Electronics Engineering,2024,6.9,12.0,130,"Siemens, L&T, Bosch"
BIT,Mechanical Engineering,2023,4.2,13.2,58,"L&T, Siemens, Bosch"
BIT,Mechanical Engineering,2024,8.8,48.0,85,"GE, BEL, L&T"
BIT,Civil Engineering,2023,9.9,20.3,76,"BEL, Tata Motors, GE"
BIT,Civil Engineering,2024,3.3,47.3,59,"HAL, L&T, GE"
BIT,Artificial Intelligence and Data Science,2023,4.3,49.1,137,"Infosys, Flipkart, Google"
BIT,Artificial Intelligence and Data Science,2024,3.2,41.7,110,"Amazon, Google, Flipkart"
BIT,Biotechnology,2023,7.3,15.8,213,"Biocon, Novartis, Pfizer"
BIT,Biotechnology,2024,7.0,38.7,230,"Cipla, Biocon, Novartis"
BIT,Data Science,2023,9.1,43.0,177,"Wipro, Google, Infosys"
BIT,Data Science,2024,6.4,17.3,92,"Wipro, Microsoft, Infosys"
BIT,Robotics and Automation Engineering,2023,3.7,25.0,149,"Safran, Airbus, ISRO"
BIT,Robotics and Automation Engineering,2024,4.9,47.6,274,"Boeing, Safran, Airbus"
BIT,Aerospace Engineering,2023,3.6,16.0,185,"DRDO, Airbus, ISRO"
BIT,Aerospace Engineering,2024,3.5,20.4,192,"Safran, Boeing, ISRO"
BIT,Chemical Engineering,2023,8.3,20.5,137,"Serum Institute, Pfizer, Biocon"
BIT,Chemical Engineering,2024,9.7,54.2,282,"Cipla, Pfizer, Biocon"
KLEIT,Computer Science and Engineering,2023,9.4,30.2,184,"Flipkart, Wipro, SAP Labs"
KLEIT,Computer Science and Engineering,2024,8.5,25.5,153,"Adobe, Cisco, Infosys"
KLEIT,Information Science and Engineering,2023,5.7,20.7,110,"Amazon, Flipkart, ABB"
KLEIT,Information Science and Engineering,2024,4.1,41.0,209,"Amazon, TCS, Microsoft"
KLEIT,Electronics and Communication Engineering,2023,9.9,41.4,259,"Bosch, Siemens, HAL"
KLEIT,Electronics and Communication Engineering,2024,4.7,37.1,262,"Siemens, L&T, Bosch"
KLEIT,Electrical and Electronics Engineering,2023,7.0,18.3,288,"Tata Motors, Siemens, ABB"
KLEIT,Electrical and Electronics Engineering,2024,5.8,31.7,269,"Tata Motors, HAL, Siemens"
KLEIT,Mechanical Engineering,2023,6.6,15.8,296,"BEL, L&T, Siemens"
KLEIT,Mechanical Engineering,2024,3.2,25.3,144,"L&T, GE, Bosch"
KLEIT,Civil Engineering,2023,8.5,48.3,150,"GE, HAL, BEL"
KLEIT,Civil Engineering,2024,4.4,15.7,240,"GE, Tata Motors, Siemens"
KLEIT,Artificial Intelligence and Data Science,2023,7.2,32.5,267,"TCS, Amazon, Wipro"
KLEIT,Artificial Intelligence and Data Science,2024,6.7,49.2,282,"Adobe, Microsoft, Wipro"
KLEIT,Biotechnology,2023,4.1,38.2,213,"Novartis, Serum Institute, Pfizer"
KLEIT,Biotechnology,2024,4.0,29.5,211,"Pfizer, Serum Institute, Cipla"
KLEIT,Data Science,2023,4.9,46.3,113,"Cisco, Adobe, Flipkart"
KLEIT,Data Science,2024,7.7,40.2,169,"Google, SAP Labs, Amazon"
KLEIT,Robotics and Automation Engineering,2023,5.0,34.3,192,"Boeing, DRDO, Safran"
KLEIT,Robotics and Automation Engineering,2024,6.7,16.7,109,"Safran, ISRO, DRDO"
KLEIT,Aerospace Engineering,2023,7.8,21.6,204,"Airbus, DRDO, Boeing"
KLEIT,Aerospace Engineering,2024,5.0,42.5,183,"Boeing, ISRO, DRDO"
KLEIT,Chemical Engineering,2023,9.0,40.0,128,"Biocon, Novartis, Pfizer"
KLEIT,Chemical Engineering,2024,5.6,19.9,273,"Novartis, Serum Institute, Pfizer"
MVJCE,Computer Science and Engineering,2023,5.6,43.6,167,"Infosys, Adobe, Microsoft"
MVJCE,Computer Science and Engineering,2024,9.0,30.0,115,"Amazon, Flipkart, Adobe"
MVJCE,Information Science and Engineering,2023,4.6,13.6,297,"Tata Motors, Wipro, TCS"
MVJCE,Information Science and Engineering,2024,9.1,28.8,282,"Flipkart, GE, Infosys"
MVJCE,Electronics and Communication Engineering,2023,5.1,46.4,256,"Bosch, ABB, L&T"
MVJCE,Electronics and Communication Engineering,2024,7.6,16.1,242,"GE, L&T, Bosch"
MVJCE,Electrical and Electronics Engineering,2023,4.7,27.7,140,"Tata Motors, HAL, Bosch"
MVJCE,Electrical and Electronics Engineering,2024,3.3,13.6,241,"GE, ABB, BEL"
MVJCE,Mechanical Engineering,2023,10.0,45.8,233,"Tata Motors, HAL, ABB"
MVJCE,Mechanical Engineering,2024,5.6,27.6,210,"Tata Motors, Bosch, HAL"
MVJCE,Civil Engineering,2023,3.6,10.1,245,"L&T, BEL, ABB"
MVJCE,Civil Engineering,2024,8.5,50.6,66,"Tata Motors, L&T, BEL"
MVJCE,Artificial Intelligence and Data Science,2023,6.6,30.4,244,"Infosys, Microsoft, SAP Labs"
MVJCE,Artificial Intelligence and Data Science,2024,5.5,29.0,139,"Microsoft, Amazon, Adobe"
MVJCE,Biotechnology,2023,7.7,27.5,187,"Pfizer, Biocon, Novartis"
MVJCE,Biotechnology,2024,4.5,18.4,125,"Pfizer, Serum Institute, Novartis"
MVJCE,Data Science,2023,7.6,14.8,94,"Wipro, Flipkart, SAP Labs"
MVJCE,Data Science,2024,7.2,42.9,245,"Microsoft, SAP Labs, Google"
MVJCE,Robotics and Automation Engineering,2023,7.0,37.9,289,"DRDO, Airbus, Boeing"
MVJCE,Robotics and Automation Engineering,2024,5.5,27.1,239,"Airbus, ISRO, Boeing"
MVJCE,Aerospace Engineering,2023,3.0,19.0,198,"ISRO, Boeing, DRDO"
MVJCE,Aerospace Engineering,2024,7.4,21.9,123,"Safran, DRDO, Boeing"
MVJCE,Chemical Engineering,2023,4.5,38.5,296,"Pfizer, Novartis, Cipla"
MVJCE,Chemical Engineering,2024,7.3,13.9,158,"Biocon, Cipla, Serum Institute"
SIT,Computer Science and Engineering,2023,4.0,43.0,117,"SAP Labs, Cisco, Microsoft"
SIT,Computer Science and Engineering,2024,3.2,24.7,251,"Infosys, Adobe, Wipro"
SIT,Information Science and Engineering,2023,7.6,15.0,100,"Google, BEL, SAP Labs"
SIT,Information Science and Engineering,2024,8.7,31.3,172,"Amazon, L&T, GE"
SIT,Electronics and Communication Engineering,2023,5.3,13.6,59,"GE, ABB, Bosch"
SIT,Electronics and Communication Engineering,2024,7.3,20.0,166,"ABB, L&T, GE"
SIT,Electrical and Electronics Engineering,2023,5.2,47.9,89,"HAL, ABB, Tata Motors"
SIT,Electrical and Electronics Engineering,2024,8.7,15.1,102,"HAL, BEL, Bosch"
SIT,Mechanical Engineering,2023,3.9,19.9,223,"Siemens, Bosch, L&T"
SIT,Mechanical Engineering,2024,6.7,14.2,257,"Bosch, HAL, Tata Motors"
SIT,Civil Engineering,2023,9.5,16.4,65,"L&T, Siemens, HAL"
SIT,Civil Engineering,2024,8.3,17.3,180,"Tata Motors, ABB, Siemens"
SIT,Artificial Intelligence and Data Science,2023,3.8,39.6,103,"Google, Infosys, Flipkart"
SIT,Artificial Intelligence and Data Science,2024,7.4,36.5,99,"Cisco, Adobe, Wipro"
SIT,Biotechnology,2023,6.0,37.0,280,"Serum Institute, Cipla, Novartis"
SIT,Biotechnology,2024,3.1,31.4,112,"Novartis, Serum Institute, Biocon"
SIT,Data Science,2023,5.6,43.8,88,"TCS, Wipro, Flipkart"
SIT,Data Science,2024,9.2,33.3,216,"Flipkart, Infosys, Google"
SIT,Robotics and Automation Engineering,2023,3.1,28.5,166,"ISRO, Safran, DRDO"
SIT,Robotics and Automation Engineering,2024,5.4,20.3,205,"Safran, Boeing, Airbus"
SIT,Aerospace Engineering,2023,9.0,38.2,73,"Boeing, Airbus, Safran"
SIT,Aerospace Engineering,2024,7.4,14.3,269,"Boeing, DRDO, Safran"
SIT,Chemical Engineering,2023,6.4,36.1,227,"Novartis, Serum Institute, Biocon"
SIT,Chemical Engineering,2024,9.9,28.7,224,"Serum Institute, Novartis, Cipla"
JSSSTU,Computer Science and Engineering,2023,8.5,46.9,158,"Google, SAP Labs, Wipro"
JSSSTU,Computer Science and Engineering,2024,4.1,15.6,163,"Amazon, Google, Infosys"
JSSSTU,Information Science and Engineering,2023,8.5,22.0,278,"Cisco, Microsoft, Tata Motors"
JSSSTU,Information Science and Engineering,2024,6.5,34.9,217,"Microsoft, Flipkart, Bosch"
JSSSTU,Electronics and Communication Engineering,2023,7.5,20.0,246,"L&T, GE, Tata Motors"
JSSSTU,Electronics and Communication Engineering,2024,4.9,32.1,57,"GE, Siemens, Bosch"
JSSSTU,Electrical and Electronics Engineering,2023,5.4,14.9,138,"Tata Motors, Siemens, ABB"
JSSSTU,Electrical and Electronics Engineering,2024,4.6,25.3,195,"L&T, Bosch, BEL"
JSSSTU,Mechanical Engineering,2023,5.0,11.7,218,"Siemens, BEL, HAL"
JSSSTU,Mechanical Engineering,2024,5.3,28.9,274,"BEL, Tata Motors, GE"
JSSSTU,Civil Engineering,2023,8.0,49.2,151,"GE, Siemens, Tata Motors"
JSSSTU,Civil Engineering,2024,3.4,24.0,64,"HAL, Tata Motors, BEL"
JSSSTU,Artificial Intelligence and Data Science,2023,7.8,28.9,232,"Infosys, Wipro, Cisco"
JSSSTU,Artificial Intelligence and Data Science,2024,4.3,40.0,83,"Infosys, Cisco, Wipro"
JSSSTU,Biotechnology,2023,3.3,11.5,202,"Pfizer, Serum Institute, Novartis"
JSSSTU,Biotechnology,2024,5.2,35.7,246,"Novartis, Biocon, Serum Institute"
JSSSTU,Data Science,2023,5.9,32.0,286,"Cisco, Amazon, Google"
JSSSTU,Data Science,2024,9.6,40.3,130,"SAP Labs, Cisco, Amazon"
JSSSTU,Robotics and Automation Engineering,2023,10.0,45.8,276,"Airbus, Safran, DRDO"
JSSSTU,Robotics and Automation Engineering,2024,4.3,29.6,163,"Boeing, Airbus, DRDO"
JSSSTU,Aerospace Engineering,2023,5.0,38.5,101,"Boeing, ISRO, Airbus"
JSSSTU,Aerospace Engineering,2024,7.0,14.0,186,"Boeing, Safran, ISRO"
JSSSTU,Chemical Engineering,2023,3.2,12.4,138,"Serum Institute, Cipla, Novartis"
JSSSTU,Chemical Engineering,2024,6.9,36.7,50,"Biocon, Pfizer, Serum Institute"
NIE,Computer Science and Engineering,2023,8.1,41.2,192,"Amazon, Wipro, TCS"
NIE,Computer Science and Engineering,2024,9.1,37.0,228,"Google, Infosys, Adobe"
NIE,Information Science and Engineering,2023,4.5,10.4,287,"HAL, Infosys, ABB"
NIE,Information Science and Engineering,2024,3.0,37.5,206,"L&T, Microsoft, SAP Labs"
NIE,Electronics and Communication Engineering,2023,5.7,39.3,203,"Bosch, L&T, BEL"
NIE,Electronics and Communication Engineering,2024,3.4,48.1,260,"BEL, HAL, ABB"
NIE,Electrical and Electronics Engineering,2023,6.3,19.3,262,"BEL, HAL, L&T"
NIE,Electrical and Electronics Engineering,2024,3.4,35.7,180,"BEL, Siemens, HAL"
NIE,Mechanical Engineering,2023,6.7,37.8,81,"HAL, ABB, GE"
NIE,Mechanical Engineering,2024,4.8,38.9,206,"BEL, Tata Motors, ABB"
NIE,Civil Engineering,2023,9.7,22.3,112,"Siemens, L&T, GE"
NIE,Civil Engineering,2024,7.7,20.5,160,"Siemens, Bosch, L&T"
NIE,Artificial Intelligence and Data Science,2023,7.8,49.7,233,"Google, Wipro, SAP Labs"
NIE,Artificial Intelligence and Data Science,2024,5.7,12.3,234,"Cisco, Wipro, Amazon"
NIE,Biotechnology,2023,3.7,44.6,256,"Biocon, Novartis, Serum Institute"
NIE,Biotechnology,2024,8.8,34.9,72,"Novartis, Biocon, Pfizer"
NIE,Data Science,2023,8.2,25.2,82,"Infosys, Cisco, Flipkart"
NIE,Data Science,2024,3.9,46.0,236,"Wipro, Cisco, Flipkart"
NIE,Robotics and Automation Engineering,2023,6.2,46.6,189,"Boeing, DRDO, Safran"
NIE,Robotics and Automation Engineering,2024,3.7,33.3,70,"DRDO, ISRO, Boeing"
NIE,Aerospace Engineering,2023,3.5,25.4,124,"Airbus, Safran, DRDO"
NIE,Aerospace Engineering,2024,5.2,32.9,84,"DRDO, Safran, Airbus"
NIE,Chemical Engineering,2023,9.0,18.1,148,"Novartis, Pfizer, Cipla"
NIE,Chemical Engineering,2024,7.9,35.9,240,"Pfizer, Serum Institute, Biocon"
NHCE,Computer Science and Engineering,2023,3.6,15.9,267,"Wipro, Google, Flipkart"
NHCE,Computer Science and Engineering,2024,3.8,29.9,148,"Flipkart, Infosys, TCS"
NHCE,Information Science and Engineering,2023,8.2,45.2,293,"Google, Infosys, Flipkart"
NHCE,Information Science and Engineering,2024,6.7,36.2,270,"Google, Cisco, Adobe"
NHCE,Electronics and Communication Engineering,2023,8.1,26.6,61,"Bosch, L&T, Tata Motors"
NHCE,Electronics and Communication Engineering,2024,8.4,22.1,135,"Tata Motors, GE, ABB"
NHCE,Electrical and Electronics Engineering,2023,3.2,26.8,297,"Tata Motors, L&T, HAL"
NHCE,Electrical and Electronics Engineering,2024,3.5,35.7,114,"ABB, HAL, GE"
