College,Branch,Category,Exam,Year,Total_Seats
ACU,Electrical and Electronics Engineering,Christian,KCET,2024,7
MVJCE,Mechanical Engineering,Christian,KCET,2023,27
SDMIT,Computer Science and Engineering,OBC,COMEDK,2024,49
DSATM,Robotics and Automation Engineering,Christian,KCET,2023,21
MSRUAS,Data Science,OBC,COMEDK,2023,60
ACU,Aerospace Engineering,GM,KCET,2023,53
RIT,Chemical Engineering,Christian,COMEDK,2023,22
RVCE,Artificial Intelligence and Data Science,OBC,KCET,2024,28
VVCE,Computer Science and Engineering,SC,COMEDK,2023,34
JIT,Mechanical Engineering,ST,KCET,2024,11
RNSIT,Chemical Engineering,ST,COMEDK,2024,57
GMIT,Mechanical Engineering,SC,KCET,2023,59
GMIT,Data Science,SC,COMEDK,2023,51
RAIT,Chemical Engineering,GM,COMEDK,2024,13
DrAIT,Electronics and Communication Engineering,SC,COMEDK,2023,52
VVIT,Artificial Intelligence and Data Science,GM,KCET,2023,11
SIT,Electrical and Electronics Engineering,Tulu,COMEDK,2024,58
YKCE,Aerospace Engineering,ST,COMEDK,2024,40
RIT,Mechanical Engineering,GM,COMEDK,2024,21
RIT,Robotics and Automation Engineering,Christian,COMEDK,2024,15
CITGubbi,Artificial Intelligence and Data Science,ST,KCET,2024,55
MVJCE,Electrical and Electronics Engineering,ST,KCET,2023,33
NIE,Robotics and Automation Engineering,Tulu,COMEDK,2023,16
GMIT,Computer Science and Engineering,OBC,COMEDK,2024,45
RAIT,Chemical Engineering,Tulu,KCET,2023,31
UVCE,Civil Engineering,Christian,KCET,2023,54
MSRUAS,Electrical and Electronics Engineering,ST,COMEDK,2023,56
KLSGIT,Data Science,SC,KCET,2024,19
RVCE,Civil Engineering,GM,COMEDK,2024,51
EastPoint,Electronics and Communication Engineering,Christian,COMEDK,2024,19
JNNCE,Civil Engineering,Tulu,COMEDK,2024,51
AEC,Aerospace Engineering,OBC,COMEDK,2023,23
PESCE,Electrical and Electronics Engineering,Christian,COMEDK,2023,59
GMIT,Electronics and Communication Engineering,Tulu,KCET,2023,52
SCEM,Mechanical Engineering,GM,COMEDK,2024,25
VemanaIT,Biotechnology,OBC,COMEDK,2024,23
DSATM,Mechanical Engineering,Tulu,KCET,2024,7
KSIT,Biotechnology,SC,KCET,2024,30
AITM,Computer Science and Engineering,Christian,COMEDK,2024,60
RNSIT,Chemical Engineering,Tulu,KCET,2023,57
DSCE,Biotechnology,GM,COMEDK,2023,42
RIT,Information Science and Engineering,OBC,KCET,2024,20
MVJCE,Electronics and Communication Engineering,SC,KCET,2023,17
NMIT,Artificial Intelligence and Data Science,Christian,KCET,2024,20
EastPoint,Chemical Engineering,Tulu,KCET,2024,42
RIT,Artificial Intelligence and Data Science,GM,KCET,2024,13
AITM,Chemical Engineering,OBC,KCET,2024,56
